member_casual,month,avg_time,number_of_rides
casual,1,00:12:47,24742
member,1,00:11:20,113037
member,2,00:09:49,124144
casual,2,00:12:09,27757
casual,3,00:17:25,85862
member,3,00:10:57,212268
member,4,00:11:06,262137
casual,4,00:18:08,109239
member,5,00:11:42,319845
casual,5,00:20:12,182770
casual,6,00:21:06,292006
member,6,00:12:37,386795
member,7,00:12:53,440106
casual,7,00:20:37,323352
casual,8,00:20:55,337878
member,8,00:12:50,452439
member,9,00:12:24,449294
casual,9,00:18:54,265268
casual,10,00:17:27,224038
member,10,00:11:55,422058
casual,11,00:15:03,99091
member,11,00:11:35,257421
casual,12,00:12:37,28090
member,12,00:11:24,112455