member_casual,weekday,start_time,trips
member,3,17,71511
member,5,17,68101
member,4,17,66320
member,2,17,63417
member,3,16,58653
member,5,16,55670
member,4,16,54716
member,6,17,53331
member,3,8,52913
member,3,18,51856
member,2,16,50980
member,5,18,50578
member,6,16,50171
member,5,8,49801
member,4,8,49585
member,4,18,48857
member,2,18,45940
member,6,18,43686
member,3,7,42146
member,2,8,41076
member,4,7,40730
member,5,7,38722
member,6,15,38589
casual,7,15,35843
member,5,15,35498
casual,7,14,35111
member,6,8,34396
member,7,16,34262
member,3,19,34255
casual,7,16,34172
member,5,19,34141
member,3,15,34086
member,7,15,33996
member,7,14,33991
member,7,12,33921
member,7,13,33782
casual,7,13,33701
member,2,7,33552
member,7,11,33361
member,4,19,33030
casual,7,12,32710
member,4,15,32155
member,2,15,32117
casual,6,17,31871
member,7,17,31475
member,2,19,30966
member,1,15,30709
member,1,12,30460
member,6,19,30405
member,1,14,30375
member,1,13,30217
member,1,16,30162
casual,6,16,29936
casual,7,17,29810
member,6,14,29747
member,7,10,29681
casual,1,15,29568
casual,1,14,29219
casual,5,17,29061
casual,7,11,29059
member,6,12,29058
member,1,11,29021
member,7,18,29014
member,6,13,28968
casual,1,13,28298
member,1,17,28086
casual,6,18,27989
member,6,7,27970
casual,1,12,27738
casual,1,16,27268
member,5,9,27074
casual,3,17,26330
member,5,12,26034
member,1,18,25992
member,3,9,25758
casual,7,18,25606
member,4,9,25582
casual,6,15,25389
casual,4,17,25321
casual,5,18,25091
member,5,14,24998
casual,2,17,24923
member,1,10,24683
member,5,13,24579
casual,1,11,24465
member,6,11,24128
member,3,12,23934
member,4,12,23791
member,7,9,23611
member,3,20,23515
member,2,14,23486
member,6,9,23473
casual,1,17,23431
member,4,20,23072
casual,7,10,23066
member,2,12,23022
casual,5,16,23007
member,5,20,22991
member,3,14,22776
casual,3,18,22761
member,3,13,22746
member,2,9,22699
member,4,14,22394
member,2,13,22346
member,4,13,22287
member,7,19,22242
member,5,11,22106
casual,4,18,21716
casual,2,16,21287
casual,6,14,21019
casual,3,16,20928
member,6,20,20861
casual,6,19,20825
member,2,20,20797
casual,2,18,20489
member,3,6,20366
casual,1,18,20247
casual,6,13,20206
member,4,11,20096
member,3,11,20059
member,4,6,19825
casual,7,19,19736
member,1,19,19503
casual,6,12,19457
member,2,11,19322
casual,4,16,19295
casual,1,10,19274
member,6,10,19199
member,5,10,19029
member,5,6,18598
member,1,9,18547
casual,5,19,18386
member,4,21,18121
member,5,21,18099
member,3,21,18056
casual,5,15,17726
member,3,10,17309
member,2,6,17252
member,4,10,17228
casual,2,15,17054
member,7,8,16917
casual,4,19,16719
casual,3,19,16676
member,6,21,16409
member,7,20,16154
member,2,10,16120
casual,7,9,15502
member,6,6,15362
casual,6,11,15302
casual,2,14,15201
casual,6,20,15197
casual,3,15,15039
casual,5,14,14974
casual,2,19,14907
member,2,21,14886
casual,1,19,14701
casual,7,20,14573
casual,2,13,14311
member,1,20,14258
member,6,22,14087
member,7,21,14036
casual,7,22,13991
casual,7,21,13955
casual,4,15,13687
casual,2,12,13679
member,5,22,13559
casual,5,13,13515
casual,5,12,13371
member,7,22,13351
casual,1,9,13316
casual,6,21,12719
casual,5,20,12521
casual,4,20,12515
casual,6,22,12283
member,1,8,12243
casual,3,14,12241
casual,3,20,11899
member,4,22,11759
casual,3,8,11643
casual,3,13,11570
casual,5,8,11531
casual,6,10,11360
casual,4,8,11316
casual,6,23,11272
casual,2,11,11266
casual,4,14,11154
casual,3,12,11141
casual,7,23,11121
member,6,23,11065
member,1,21,11011
casual,5,11,10968
member,3,22,10902
casual,7,0,10898
casual,4,21,10872
casual,5,21,10790
casual,1,20,10760
member,7,23,10607
casual,4,12,10584
casual,1,0,10556
casual,3,21,10474
casual,2,20,10456
casual,4,13,10268
casual,6,8,9613
casual,6,9,9545
member,7,7,9536
casual,7,8,9466
casual,5,22,9395
casual,3,11,9272
casual,2,8,9256
member,2,22,9036
casual,5,9,9021
casual,4,11,9001
member,7,0,8753
casual,5,10,8742
casual,5,7,8661
casual,2,10,8569
casual,4,7,8453
casual,3,7,8451
casual,1,21,8320
member,5,23,8253
member,1,0,8234
casual,3,9,8167
casual,2,21,8061
member,1,22,8011
casual,2,9,7881
casual,4,22,7803
casual,1,8,7736
casual,7,1,7719
casual,6,7,7546
casual,4,9,7457
casual,3,10,7390
casual,1,1,7196
casual,4,10,7117
member,1,7,7052
casual,1,22,6981
casual,5,23,6942
casual,2,7,6929
casual,3,22,6805
member,3,5,6635
member,4,5,6491
casual,2,22,6269
member,7,1,5993
member,4,23,5953
member,2,5,5706
member,5,5,5703
member,6,5,5649
member,1,1,5532
member,3,23,5390
member,7,6,5303
casual,6,0,5075
casual,7,2,5067
casual,1,2,5042
casual,7,7,4888
casual,1,7,4766
member,1,23,4640
casual,4,23,4565
member,6,0,4554
member,2,23,4501
casual,1,23,4467
casual,3,6,4356
casual,5,6,4349
casual,4,6,4328
member,1,6,4260
casual,6,6,4211
casual,2,23,3931
casual,2,6,3893
casual,3,23,3757
member,7,2,3695
casual,2,0,3606
member,1,2,3584
casual,5,0,3191
casual,6,1,3152
member,5,0,3097
casual,1,6,2900
casual,1,3,2813
casual,4,0,2792
casual,3,0,2774
member,4,0,2724
member,2,0,2649
casual,7,3,2645
casual,7,6,2591
member,6,1,2574
member,3,0,2399
member,7,5,2170
member,1,3,2118
casual,2,1,2072
member,7,3,1992
casual,6,5,1979
casual,6,2,1946
member,1,5,1943
casual,5,1,1770
casual,1,4,1766
casual,4,5,1750
member,5,1,1690
casual,5,5,1664
casual,1,5,1642
casual,3,5,1614
casual,2,5,1589
member,2,1,1538
member,1,4,1510
casual,4,1,1491
casual,3,1,1483
casual,2,2,1451
casual,7,4,1445
member,6,2,1439
member,4,1,1373
member,3,1,1314
member,6,4,1313
casual,7,5,1279
member,2,4,1260
member,3,4,1222
member,5,4,1207
member,7,4,1195
casual,5,2,1146
member,4,4,1127
casual,6,3,1069
casual,3,2,1064
member,6,3,1017
casual,6,4,1005
casual,4,2,972
member,5,2,948
member,2,2,927
casual,2,3,921
casual,2,4,822
casual,5,4,784
member,4,2,768
casual,4,4,759
member,2,3,758
member,3,2,726
member,5,3,706
casual,3,4,700
casual,5,3,678
member,4,3,673
member,3,3,640
casual,4,3,581
casual,3,3,545